,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
65,CDS,"product (4-hydroxy-tetrahydrodipicolinate reductase), EC_number (1.17.1.8), transl_table (11), protein_id (ref|NP_414572.1||gnl|REF_b0031|NP_414572), transcript_id (gnl|b0031|mrna.NP_414572), db_xref (UniProtKB/Swiss-Prot:P04036), ",28374,29195,821,1,21.07186358099878,21.07186358099878,21.07186358099878,21.07186358099878
515,misc_feature,"note (cryptic prophage CP4-6), ",262898,297205,34307,1,0.5071851225697379,0.5071851225697379,0.5071851225697379,0.5071851225697379
581,CDS,"product (D-xylonate dehydratase), EC_number (4.2.1.82), transl_table (11), protein_id (ref|NP_414803.1||gnl|REF_b0269|NP_414803), transcript_id (gnl|b0269|mrna.NP_414803), db_xref (UniProtKB/Swiss-Prot:P77596), ",283201,285168,1967,1,8.845958312150483,8.845958312150483,8.845958312150483,8.845958312150483
733,CDS,"product (cyanate transporter), transl_table (11), protein_id (ref|NP_414875.1||gnl|REF_b0341|NP_414875), transcript_id (gnl|b0341|mrna.NP_414875), db_xref (UniProtKB/Swiss-Prot:P17583), ",359992,361146,1154,1,12.56499133448873,12.56499133448873,12.56499133448873,12.56499133448873
1056,CDS,"product (protein RhsD), transl_table (11), protein_id (ref|NP_415030.1||gnl|REF_b0497|NP_415030), transcript_id (gnl|b0497|mrna.NP_415030), db_xref (UniProtKB/Swiss-Prot:P16919), ",523261,527541,4280,2,6.296728971962617,6.296728971962617,22.68691588785047,22.68691588785047
1264,CDS,"product (ferric enterobactin ABC transporter membrane subunit FebD), EC_number (7.2.2.17), transl_table (11), protein_id (ref|NP_415122.1||gnl|REF_b0590|NP_415122), transcript_id (gnl|b0590|mrna.NP_415122), db_xref (UniProtKB/Swiss-Prot:P23876), ",621185,622189,1004,1,17.52988047808765,17.52988047808765,17.52988047808765,17.52988047808765
1276,CDS,"product (2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase), EC_number (1.3.1.28), transl_table (11), protein_id (ref|NP_415128.1||gnl|REF_b0596|NP_415128), transcript_id (gnl|b0596|mrna.NP_415128), db_xref (UniProtKB/Swiss-Prot:P15047), ",628551,629297,746,1,20.10723860589812,20.10723860589812,20.10723860589812,20.10723860589812
1383,CDS,"product (chaperone protein HscC), transl_table (11), protein_id (ref|NP_415183.1||gnl|REF_b0650|NP_415183), transcript_id (gnl|b0650|mrna.NP_415183), db_xref (UniProtKB/Swiss-Prot:P77319), ",681723,683393,1670,1,7.005988023952097,7.005988023952097,7.005988023952096,7.005988023952096
1484,CDS,"product (rhs element protein RhsC), transl_table (11), protein_id (ref|NP_415229.1||gnl|REF_b0700|NP_415229), transcript_id (gnl|b0700|mrna.NP_415229), db_xref (UniProtKB/Swiss-Prot:P16918), ",729583,733776,4193,2,3.923205342237062,3.923205342237062,37.10946816122108,37.10946816122108
2054,CDS,"product (protein HyaF), transl_table (11), protein_id (ref|NP_415496.1||gnl|REF_b0977|NP_415496), transcript_id (gnl|b0977|mrna.NP_415496), db_xref (UniProtKB/Swiss-Prot:P19932), ",1036749,1037606,857,1,19.95332555425905,19.95332555425905,19.95332555425904,19.95332555425904
