,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
1,CDS,"product (chromosomal replication initiator protein DnaA), transl_table (11), protein_id (ref|WP_010948690.1|), inference (COORDINATES: similar to AA sequence:RefSeq:NP_214515.1), ",1,1530,1529,1,28.71157619359058,28.71157619359058,28.71157619359058,28.71157619359058
5,CDS,"product (DNA replication/repair protein RecF), transl_table (11), protein_id (ref|WP_003876778.1|), inference (COORDINATES: similar to AA sequence:RefSeq:NP_301131.1), ",3300,4457,1157,1,26.62057044079516,26.62057044079516,26.62057044079516,26.62057044079516
7,CDS,"product (DUF721 family protein), transl_table (11), protein_id (ref|WP_003874373.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003874373.1), ",4454,4999,545,3,85.5045871559633,44.03669724770642,85.5045871559633,85.5045871559633
13,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|WP_003874376.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_014940903.1), ",9925,10776,851,2,61.92714453584018,37.19153936545241,61.92714453584018,61.92714453584018
23,CDS,"product (cell wall synthesis protein CwsA), transl_table (11), protein_id (ref|WP_003876784.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_008262526.1), ",13137,13571,434,1,37.32718894009216,37.32718894009216,37.32718894009216,37.32718894009216
31,CDS,"product (DUF881 domain-containing protein), transl_table (11), protein_id (ref|WP_003876787.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_008262548.1), ",15216,15959,743,1,35.93539703903095,35.93539703903095,35.93539703903095,35.93539703903095
35,CDS,"product (Stk1 family PASTA domain-containing Ser/Thr kinase), transl_table (11), protein_id (ref|WP_003876789.1|), inference (COORDINATES: similar to AA sequence:RefSeq:NP_301142.1), ",16672,18552,1880,1,7.76595744680851,7.76595744680851,7.76595744680851,7.76595744680851
37,CDS,"product (serine/threonine protein kinase), transl_table (11), pseudo, note (frameshifted), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003872102.1), ",18549,19831,1282,1,35.64742589703588,35.64742589703588,35.64742589703588,35.64742589703588
39,CDS,"product (D,D-transpeptidase PbpA), transl_table (11), protein_id (ref|WP_003876791.1|), inference (COORDINATES: similar to AA sequence:RefSeq:NP_214530.1), ",19828,21306,1478,2,13.26116373477673,13.12584573748309,13.26116373477672,13.26116373477672
43,CDS,"product (serine/threonine protein phosphatase), transl_table (11), protein_id (ref|WP_003872105.1|), inference (COORDINATES: similar to AA sequence:RefSeq:NP_301146.1), ",22709,24208,1499,2,61.974649766511,39.32621747831887,61.97464976651101,61.97464976651101
47,CDS,"product (DUF3662 domain-containing protein), transl_table (11), protein_id (ref|WP_003876793.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_014383571.1), ",24865,26499,1634,8,46.57282741738067,25.37484700122399,46.57282741738066,46.57282741738066
55,CDS,"product (long-chain-fatty acid--ACP ligase MbtM), EC_number (6.2.1.20), transl_table (11), protein_id (ref|WP_010948699.1|), note (converts medium- to long-chain aliphatic fatty acids into acyl adenylate; involved in mycobactin synthesis), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003872110.1), ",27908,29464,1556,2,11.31105398457584,11.31105398457584,28.8560411311054,28.8560411311054
57,CDS,"product (TNT domain-containing protein), transl_table (11), protein_id (ref|WP_003872111.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003872111.1), ",29619,31517,1898,1,25.55321390937829,25.55321390937829,25.55321390937829,25.55321390937829
61,CDS,"product (IS256-like element IS1311 family transposase), transl_table (11), protein_id (ref|WP_010948700.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_011777840.1), ",32641,33876,1235,1,29.55465587044534,29.55465587044534,29.55465587044534,29.55465587044534
67,CDS,"product (HNH endonuclease), transl_table (11), protein_id (ref|WP_010948701.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_010948701.1), ",35295,36539,1244,4,85.85209003215434,66.37861736334405,85.85209003215434,85.85209003215434
71,CDS,"product (pirin family protein), transl_table (11), protein_id (ref|WP_003878371.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_016706071.1), ",36910,37902,992,1,22.27822580645161,22.27822580645161,22.27822580645161,22.27822580645161
79,CDS,"product (helix-turn-helix transcriptional regulator), transl_table (11), protein_id (ref|WP_010948703.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_011723303.1), ",41395,42183,788,1,23.73096446700508,23.73096446700508,23.73096446700508,23.73096446700508
85,CDS,"product (DUF4226 domain-containing protein), transl_table (11), protein_id (ref|WP_003874763.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_011723306.1), ",43531,44982,1451,3,44.96898690558236,8.77555708706639,82.4948311509304,82.4948311509304
91,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|WP_010948705.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_010948705.1), ",45918,47552,1634,1,13.03549571603427,13.03549571603427,13.03549571603427,13.03549571603427
95,CDS,"product (TIGR03084 family protein), transl_table (11), protein_id (ref|WP_003876808.1|), inference (COORDINATES: similar to AA sequence:RefSeq:NP_214550.1), ",47969,48742,773,2,22.70375161707633,22.70375161707633,57.30918499353169,57.30918499353169
97,CDS,"product (MFS transporter), transl_table (11), protein_id (ref|WP_003876809.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_008262617.1), ",48800,50071,1271,1,36.19197482297404,36.19197482297404,36.19197482297404,36.19197482297404
103,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|WP_003874754.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_008262626.1), ",51235,52320,1085,10,83.87096774193549,49.9815668202765,83.87096774193549,83.87096774193549
105,CDS,"product (leucine--tRNA ligase), EC_number (6.1.1.4), transl_table (11), protein_id (ref|WP_003876813.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_031344725.1), ",52505,55414,2909,2,83.67136473014781,8.04400137504297,83.67136473014781,83.67136473014781
113,CDS,"product (ABC transporter permease subunit), transl_table (11), protein_id (ref|WP_003876819.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003874748.1), ",57464,59272,1808,1,12.99778761061947,12.99778761061947,12.99778761061947,12.99778761061947
121,CDS,"product (DUF1214 domain-containing protein), transl_table (11), protein_id (ref|WP_010948711.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_009954178.1), ",61916,63151,1235,2,42.59109311740891,26.55870445344129,42.59109311740891,42.59109311740891
137,CDS,"product (penicillin-binding protein), transl_table (11), protein_id (ref|WP_010948714.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003874735.1), ",69679,72312,2633,1,14.66008355488037,14.66008355488037,14.66008355488036,14.66008355488036
163,CDS,"product (RND family transporter), transl_table (11), protein_id (ref|WP_003876831.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_016705920.1), ",84076,87009,2933,1,6.580293215138084,6.580293215138084,6.580293215138084,6.580293215138084
165,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|WP_019306706.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_019306706.1), ",87268,88332,1064,2,56.95488721804512,21.28759398496241,56.95488721804512,56.95488721804512
173,CDS,"product (FAD-binding oxidoreductase), transl_table (11), protein_id (ref|WP_003876834.1|), inference (COORDINATES: similar to AA sequence:RefSeq:NP_214577.1), ",90341,91777,1436,2,16.016713091922,13.33565459610028,16.01671309192201,16.01671309192201
181,CDS,"product (LysR family transcriptional regulator), transl_table (11), protein_id (ref|WP_003876836.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003876836.1), ",94329,95216,887,1,18.82750845546787,18.82750845546787,18.82750845546787,18.82750845546787
203,CDS,"product (acyl-CoA desaturase), transl_table (11), pseudo, note (frameshifted), inference (COORDINATES: similar to AA sequence:RefSeq:WP_020101213.1), ",103696,104644,948,1,18.35443037974684,18.35443037974684,18.35443037974683,18.35443037974683
221,CDS,"product (IS256-like element IS1311 family transposase), transl_table (11), protein_id (ref|WP_010948736.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_011777840.1), ",110876,112111,1235,1,29.55465587044534,29.55465587044534,29.55465587044534,29.55465587044534
225,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|WP_019306079.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_016706174.1), ",113185,115692,2507,4,19.82449142401276,22.37734343837256,50.73793378540088,50.73793378540088
229,CDS,"product (tyrosine-type recombinase/integrase), transl_table (11), protein_id (ref|WP_003876023.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003876023.1), ",116042,117073,1031,4,36.27546071774976,29.29194956353055,36.27546071774976,36.27546071774976
233,CDS,"product (MCE family protein), transl_table (11), protein_id (ref|WP_015632714.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003876025.1), ",117718,119289,1571,1,18.77784850413749,18.77784850413749,18.77784850413749,18.77784850413749
235,CDS,"product (MCE family protein), transl_table (11), protein_id (ref|WP_003876026.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_014941113.1), ",119286,120365,1079,1,11.67747914735867,11.67747914735867,11.67747914735867,11.67747914735867
241,CDS,"product (MCE family protein), transl_table (11), protein_id (ref|WP_003876029.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_011723340.1), ",122519,123751,1232,2,80.84415584415584,11.16071428571428,80.84415584415585,80.84415584415585
249,CDS,"product (TetR/AcrR family transcriptional regulator), transl_table (11), protein_id (ref|WP_033706237.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_009955629.1), ",126554,127819,1265,1,34.86166007905138,34.86166007905138,34.86166007905138,34.86166007905138
255,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|WP_003876887.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_016706178.1), ",128943,129731,788,1,31.97969543147208,31.97969543147208,31.97969543147208,31.97969543147208
261,CDS,"product (PE family protein), transl_table (11), protein_id (ref|WP_003876040.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_009974312.1), ",130795,131100,305,2,100.0,64.75409836065573,100.0,100.0
263,CDS,"product (hypothetical protein), transl_table (11), pseudo, note (frameshifted), inference (COORDINATES: similar to AA sequence:RefSeq:WP_014710782.1), ",131121,132796,1675,5,17.3134328358209,15.96417910447761,42.56716417910448,42.56716417910448
273,CDS,"product (2-hydroxyacid dehydrogenase), transl_table (11), protein_id (ref|WP_019306447.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_019306447.1), ",136798,137781,983,1,13.22482197355036,13.22482197355036,13.22482197355036,13.22482197355036
291,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|WP_003876898.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_009956865.1), ",144761,145654,893,1,37.06606942889138,37.06606942889138,37.06606942889137,37.06606942889137
293,CDS,"product (PadR family transcriptional regulator), transl_table (11), protein_id (ref|WP_011723359.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_011723359.1), ",145663,146277,614,1,37.13355048859935,37.13355048859935,37.13355048859935,37.13355048859935
297,CDS,"product (LLM class F420-dependent oxidoreductase), transl_table (11), protein_id (ref|WP_003876901.1|), inference (COORDINATES: similar to AA sequence:RefSeq:YP_890813.1), ",146833,147870,1037,3,42.43008678881389,26.48666023786564,58.24493731918997,58.24493731918997
299,CDS,"product (MFS transporter), transl_table (11), pseudo, note (frameshifted), inference (COORDINATES: similar to AA sequence:RefSeq:WP_009956857.1), ",147906,149123,1217,3,22.80197206244864,18.65242399342646,45.68611339359079,45.68611339359079
309,CDS,"product (FAD-binding oxidoreductase), transl_table (11), protein_id (ref|WP_003876356.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003876905.1), ",152154,153107,953,4,100.0,70.0682056663169,100.0,100.0
313,CDS,"product (acyl-CoA dehydrogenase), transl_table (11), protein_id (ref|WP_003876359.1|), inference (COORDINATES: similar to AA sequence:RefSeq:YP_884942.1), ",154381,155592,1211,2,21.88274153592073,21.88274153592073,21.88274153592073,21.88274153592073
315,CDS,"product (TetR family transcriptional regulator), transl_table (11), pseudo, note (frameshifted), inference (COORDINATES: similar to AA sequence:RefSeq:WP_009974345.1), ",155589,156235,646,2,26.93498452012384,26.0061919504644,26.93498452012384,26.93498452012384
317,CDS,"product (HAMP domain-containing histidine kinase), transl_table (11), protein_id (ref|WP_010948759.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_011723367.1), ",156382,157710,1328,2,51.6566265060241,16.37801204819277,51.6566265060241,51.6566265060241
329,CDS,"product (IS110 family transposase), transl_table (11), protein_id (ref|WP_010948702.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_010948702.1), ",161505,162725,1220,2,37.78688524590164,35.77868852459017,37.78688524590164,37.78688524590164
339,CDS,"product (type VII secretion integral membrane protein EccD), transl_table (11), protein_id (ref|WP_003876912.1|), inference (COORDINATES: similar to AA sequence:RefSeq:NP_218404.1), ",165680,167209,1529,2,77.30542838456508,47.58011772400262,77.30542838456508,77.30542838456508
341,CDS,"product (type VII secretion system ESX-2 serine protease mycosin MycP2), transl_table (11), protein_id (ref|WP_010948761.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_014378831.1), ",167194,168855,1661,4,94.88260084286574,25.87296809151114,94.88260084286574,94.88260084286574
343,CDS,"product (type VII secretion protein EccE), transl_table (11), pseudo, note (frameshifted), inference (COORDINATES: similar to AA sequence:RefSeq:WP_003876914.1), ",168852,170439,1587,4,79.33207309388783,25.56710775047259,79.33207309388784,79.33207309388784
347,CDS,"product (nitroreductase family deazaflavin-dependent oxidoreductase), transl_table (11), protein_id (ref|WP_003876594.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_008262900.1), ",172321,172761,440,1,23.86363636363636,23.86363636363636,23.86363636363636,23.86363636363636
353,CDS,"product (MinD/ParA family protein), transl_table (11), protein_id (ref|WP_042632778.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_007771848.1), ",174590,175495,905,2,85.0828729281768,50.33149171270718,85.0828729281768,85.0828729281768
357,CDS,"product (glutamate synthase subunit beta), transl_table (11), protein_id (ref|WP_003872116.1|), note (glutamate synthase is composed of subunits alpha and beta; beta subunit is a flavin adenine dinucleotide-NADPH dependent oxidoreductase; provides electrons to the alpha subunit, which binds L-glutamine and 2-oxoglutarate and forms L-glutamate), inference (COORDINATES: similar to AA sequence:RefSeq:NP_218375.1), ",180940,182415,1475,1,8.542372881355933,8.542372881355933,8.542372881355933,8.542372881355933
361,CDS,"product (LLM class F420-dependent oxidoreductase), transl_table (11), protein_id (ref|WP_003872117.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_011723380.1), ",182777,183628,851,1,37.01527614571093,37.01527614571093,37.01527614571093,37.01527614571093
367,CDS,"product (DNA polymerase IV), EC_number (2.7.7.7), transl_table (11), protein_id (ref|WP_003876920.1|), note (involved in translesion DNA polymerization with beta clamp of polymerase III; belongs to Y family of polymerases; does not contain proofreading function), inference (COORDINATES: similar to AA sequence:RefSeq:WP_014383626.1), ",185210,186412,1202,3,47.50415973377704,32.00221852468108,47.50415973377704,47.50415973377704
371,CDS,"product (NAD(P)/FAD-dependent oxidoreductase), transl_table (11), protein_id (ref|WP_003876922.1|), inference (COORDINATES: similar to AA sequence:RefSeq:WP_016705434.1), ",187161,188630,1469,1,13.20626276378489,13.20626276378489,13.20626276378489,13.20626276378489
