,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
27,CDS,"product (DNA mismatch repair protein MutS), transl_table (11), protein_id (ref|YP_002515387.1||gnl|REF_bmbuc|CCNA_00012), note (CC_0012), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), experiment (Start codon verified by LC-MS), ",11467,14178,2711,3,43.65547768351162,6.332226730603715,80.33935817041682,80.33935817041682
31,CDS,"product (protein-PII uridylyltransferase), EC_number (2.7.7.59), transl_table (11), protein_id (ref|YP_002515388.1||gnl|REF_bmbuc|CCNA_00013), note (CC_0013), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",14199,17021,2822,2,7.299787384833452,7.175761871013465,7.299787384833452,7.299787384833452
39,CDS,"product (molybdopterin converting factor, small subunit), transl_table (11), protein_id (ref|YP_002515392.1||gnl|REF_bmbuc|CCNA_00017), note (CC_0017), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",18492,18731,239,2,65.27196652719665,64.01673640167364,65.27196652719665,65.27196652719665
53,CDS,"product (mliC-family lysozyme inhibitor protein), transl_table (11), protein_id (ref|YP_002515398.2||gnl|REF_bmbuc|CCNA_00023), note (CC_0023), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",23742,24074,332,1,64.7590361445783,64.7590361445783,64.75903614457832,64.75903614457832
55,CDS,"product (uroporphyrin-III C-methyltransferase/Precorrin-2 dehydrogenase/Sirohydrochlorin ferrochelatase), EC_number (2.1.1.107), transl_table (11), protein_id (ref|YP_002515399.1||gnl|REF_bmbuc|CCNA_00024), note (CC_0024), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",24091,24981,890,2,51.46067415730337,33.53932584269663,51.46067415730337,51.46067415730337
59,CDS,"product (PAS-family sensor histidine kinase CckO), EC_number (2.7.13.3), transl_table (11), protein_id (ref|YP_002515401.1||gnl|REF_bmbuc|CCNA_00026), note (CC_0026), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",26701,29403,2702,4,25.27757216876388,7.383419689119171,61.7320503330866,61.7320503330866
90,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|YP_002515414.1||gnl|REF_bmbuc|CCNA_00039), note (CC_0040), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",41403,41921,518,1,69.3050193050193,69.3050193050193,69.3050193050193,69.3050193050193
94,CDS,"product (protein translation initiation factor 2 IF-2), transl_table (11), protein_id (ref|YP_002515416.2||gnl|REF_bmbuc|CCNA_00041), note (CC_0042), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",42585,45614,3029,3,33.74050841862001,32.44195003851656,33.74050841862001,33.74050841862001
96,ncRNA,"ncRNA_class (other), product (small non-coding RNA), experiment (EXISTENCE:RNA-seq), ",45805,46002,197,1,90.86294416243655,90.86294416243655,90.86294416243655,90.86294416243655
98,CDS,"product (RNA-binding protein, YlxR family), transl_table (11), protein_id (ref|YP_002515417.1||gnl|REF_bmbuc|CCNA_00042), note (CC_0043), experiment (EXISTENCE:LC-MS), experiment (EXISTENCE:Ribosome profiling), ",45893,46543,650,2,55.23076923076923,20.53846153846154,55.23076923076923,55.23076923076923
