,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
1,CDS,"product (chromosomal replication initiator protein DnaA), transl_table (11), protein_id (ref|NP_214515.1|), experiment (DESCRIPTION:Mutation analysis, gene expression[PMID: 10375628]), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00017), inference (protein motif:PROSITE:PS01008), ",1,1524,1523,1,10.57124097176625,10.57124097176625,10.57124097176625,10.57124097176625
5,CDS,"product (DNA replication/repair protein RecF), transl_table (11), protein_id (ref|NP_214517.1|), note (single-stranded DNA-binding protein), experiment (EXISTENCE:Mass spectrometry[PMID:15525680]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), inference (protein motif:PROSITE:PS00017), inference (protein motif:PROSITE:PS00617), inference (protein motif:PROSITE:PS00618), ",3280,4437,1157,1,19.8789974070873,19.8789974070873,19.87899740708729,19.87899740708729
13,CDS,"product (membrane protein), transl_table (11), protein_id (ref|NP_214521.1|), note (A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al.,2004 PMID:14766927).), experiment (COORDINATES:Mass spectrometry[PMID:21969609]), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",9914,10828,914,2,55.79868708971554,26.80525164113785,55.79868708971554,55.79868708971554
19,CDS,"product (cell wall synthesis protein CwsA), transl_table (11), protein_id (ref|NP_214522.1|), experiment (DESCRIPTION:Gene expression, protein purification and characterization[PMID:23002219]), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",11874,12311,437,2,72.08237986270024,54.69107551487414,72.08237986270022,72.08237986270022
33,CDS,"product (serine/threonine-protein kinase PknA), transl_table (11), protein_id (ref|NP_214529.1|), note (Belongs to the Ser/Thr family of protein kinases. It has been shown that sodium orthovanadate inhibits the activity of the enzyme in vitro.), experiment (DESCRIPTION:Gene expression, mutation analysis, protein purification and characterization[PMID:21423706]), experiment (DESCRIPTION:Gene expression, protein purification and characterization[PMID:11856348]), experiment (EXISTENCE:Mass spectrometry[PMID:17443846]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), inference (protein motif:PROSITE:PS00108), ",17467,18762,1295,1,23.01158301158301,23.01158301158301,23.01158301158301,23.01158301158301
39,CDS,"product (phosphoserine/threonine phosphatase PstP), transl_table (11), protein_id (ref|NP_214532.1|), note (Experimental studies have shown that PstP specifically dephosporylates model phospho-Ser/Thr substrates and it is likely that PknB (Rv0014c) and PstP may act as a functional pair in vivo to control mycobacterial cell growth.), experiment (DESCRIPTION:Gene expression, mutation analysis, protein purification and characterization[PMID:21423706]), experiment (DESCRIPTION:Mutation analysis, gene expression, protein purification and characterization[PMID:12950916]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",21637,23181,1544,4,39.37823834196891,28.83743523316062,39.37823834196891,39.37823834196891
44,CDS,"product (FHA domain-containing protein FhaA), transl_table (11), protein_id (ref|NP_214534.1|), note (A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004 PMID:14766927).), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",23861,25444,1583,2,31.33291219204043,25.11054958938724,31.33291219204043,31.33291219204043
54,CDS,"product (NLP/P60 family protein), transl_table (11), protein_id (ref|NP_214538.1|), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), experiment (EXISTENCE:Mass spectrometry[PMID:21920479]), ",28362,29207,845,1,27.69230769230769,27.69230769230769,27.69230769230769,27.69230769230769
58,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_214540.1|), experiment (EXISTENCE:Mass spectrometry[PMID:21085642]), ",29722,31068,1346,3,18.27637444279346,12.67954432887568,18.27637444279346,18.27637444279346
78,CDS,"product (MFS-type transporter), transl_table (11), protein_id (ref|NP_214551.1|), note (member of major facilitator superfamily (MFS) possibly involved in transport of macrolide; integral membrane protein), experiment (DESCRIPTION:Mass spectrometry[PMID:21920479]), experiment (EXISTENCE:Mass spectrometry[PMID:20429878]), ",39877,41202,1325,2,40.0754716981132,18.75471698113208,40.0754716981132,40.0754716981132
