,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
59,CDS,"product (dihydrodipicolinate reductase), transl_table (11), protein_id (ref|NP_308061.1|), ",32749,33570,821,1,18.75761266747869,18.75761266747869,18.75761266747869,18.75761266747869
175,CDS,"product (phospho-N-acetylmuramoyl-pentapeptide-transferase), transl_table (11), protein_id (ref|NP_308118.1|), ",100608,101690,1082,1,14.51016635859519,14.51016635859519,14.51016635859519,14.51016635859519
307,CDS,"product (H(+)/Cl(-) exchange transporter), transl_table (11), protein_id (ref|NP_308186.1|), ",179307,180728,1421,1,19.35256861365236,19.35256861365236,19.35256861365236,19.35256861365236
475,CDS,"product (type IV secretion protein Rhs), transl_table (11), protein_id (ref|NP_308264.2|), ",267079,271293,4214,3,39.71286188894162,8.89890840056953,74.1813004271476,74.1813004271476
482,CDS,"product (type IV secretion protein Rhs), transl_table (11), protein_id (ref|NP_308269.1|), ",273792,275552,1760,1,23.75,23.75,23.75,23.75
763,CDS,"product (cyanate transporter), transl_table (11), protein_id (ref|NP_308421.2|), ",416742,417923,1181,1,12.27773073666384,12.27773073666384,12.27773073666384,12.27773073666384
1091,CDS,"product (type IV secretion protein Rhs), transl_table (11), protein_id (ref|NP_308587.2|), ",617058,621254,4196,3,6.744518589132507,6.744518589132507,68.94661582459486,68.94661582459486
1182,CDS,"product (type VI secretion system Vgr family protein), transl_table (11), protein_id (ref|NP_308634.1|), ",673488,675389,1901,1,9.205681220410309,9.205681220410309,9.20568122041031,9.20568122041031
1228,CDS,"product (ferrienterobactin ABC transporter permease), transl_table (11), protein_id (ref|NP_308656.1|), ",702842,703846,1004,1,17.52988047808765,17.52988047808765,17.52988047808765,17.52988047808765
1240,CDS,"product (2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase), transl_table (11), protein_id (ref|NP_308662.1|), ",710022,710768,746,1,21.44772117962466,21.44772117962466,21.44772117962466,21.44772117962466
1432,CDS,"product (type IV secretion protein Rhs), transl_table (11), protein_id (ref|NP_308756.1|), ",808010,812209,4199,2,3.810431055013098,3.810431055013098,37.05644201000238,37.05644201000238
1586,misc_feature,"product (prophage Sp3, lambda-like phage), ",891124,929709,38585,3,1.168847997926656,0.7835514664593323,1.168847997926656,1.168847997926656
1666,CDS,"product (phage tail fiber protein), transl_table (11), protein_id (ref|NP_308871.1|), ",922858,924174,1316,3,34.27051671732523,22.97365754812563,34.27051671732523,34.27051671732523
2083,misc_feature,"product (prophage Sp4, lambda-like phage), ",1161092,1210882,49790,5,4.784093191403897,0.4703755774251858,35.32436232175136,35.32436232175136
2180,CDS,"product (phage terminase large subunit), transl_table (11), protein_id (ref|NP_309133.2|), ",1190017,1191981,1964,1,9.572301425661914,9.572301425661914,9.572301425661914,9.572301425661914
2198,CDS,"product (phage tail length tape measure protein), transl_table (11), protein_id (ref|NP_309141.1|), ",1197551,1200130,2579,2,7.289647150058162,7.289647150058162,7.289647150058162,7.289647150058162
2214,CDS,"product (phage tail fiber protein), transl_table (11), protein_id (ref|NP_309150.2|), ",1207543,1208856,1313,2,30.76923076923077,23.11500380807312,30.76923076923077,30.76923076923077
2283,misc_feature,"product (prophage Sp5, lambda-like phage), ",1246154,1308861,62707,9,0.9911174191079145,1.012468925142151,17.11132728403528,17.11132728403528
2424,CDS,"product (phage tail fiber protein), transl_table (11), protein_id (ref|NP_309255.1|), ",1284924,1286861,1937,8,55.96282911719154,35.84796076406815,55.96282911719153,55.96282911719153
2450,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_309269.1|), ",1296023,1304404,8381,1,1.89714831165732,1.89714831165732,1.89714831165732,1.89714831165732
2928,misc_feature,"product (prophage Sp6; lambda-like phage), ",1541611,1590033,48422,6,5.194746189748461,0.4952982803959633,24.17702697121143,24.17702697121143
3010,CDS,"product (phage terminase large subunit), transl_table (11), protein_id (ref|NP_309569.1|), ",1562824,1564485,1661,3,12.46237206502107,11.05759582580775,27.69416014449127,27.69416014449127
3030,CDS,"product (phage minor tail protein), transl_table (11), protein_id (ref|NP_309578.2|), ",1572000,1572209,209,1,86.1244019138756,86.1244019138756,86.1244019138756,86.1244019138756
3032,CDS,"product (phage tail length tape measure protein), transl_table (11), protein_id (ref|NP_304285.1|), ",1572262,1575504,3242,2,8.297347316471313,8.297347316471313,8.297347316471313,8.297347316471313
