,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
604,gene,"gene (fhuB), locus_tag (STM0194), db_xref (GeneID:1251712), ",227651,229718,2067,1,10.15965166908563,10.15965166908563,10.15965166908563,10.15965166908563
606,CDS,"product (Fe3+-hydroxamate ABC transporter permease FhuB), transl_table (11), protein_id (ref|NP_459199.1|), note (ABC superfamily (membrane); similar to E. coli hydroxamate-dependent iron uptake, cytoplasmic membrane component (AAC73264.1); Blastp hit to AAC73264.1 (660 aa), 90% identity in aa 9 - 660), ",227661,229718,2057,1,10.20904229460379,10.20904229460379,10.20904229460379,10.20904229460379
631,CDS,"product (chloride channel protein), transl_table (11), protein_id (ref|NP_459208.1|), note (similar to E. coli putative channel transporter (AAC73266.1); Blastp hit to AAC73266.1 (473 aa), 78% identity in aa 1 - 473), ",238662,240083,1421,2,13.65235749472203,11.29486277269528,13.65235749472203,13.65235749472203
820,gene,"locus_tag (STM0272), db_xref (GeneID:1251790), ",311190,313834,2644,1,4.765506807866869,4.765506807866869,4.765506807866869,4.765506807866869
822,CDS,"product (ClpV1 family T6SS ATPase), prot_desc (homolog of Yersinia clpB), transl_table (11), protein_id (ref|NP_459269.1|), note (similar to E. coli ATP-binding component of serine protease (AAC73969.1); Blastp hit to AAC73969.1 (758 aa), 42% identity in aa 150 - 449, 40% identity in aa 421 - 685, 32% identity in aa 30 - 74), ",311195,313834,2639,1,4.774535809018567,4.774535809018567,4.774535809018568,4.774535809018568
863,gene,"locus_tag (STM0286), db_xref (GeneID:1251805), ",327726,328519,793,2,82.97604035308953,49.62168978562421,82.97604035308953,82.97604035308953
865,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_459284.1|), ",327731,328519,788,2,83.50253807106598,49.93654822335025,83.50253807106598,83.50253807106598
878,gene,"locus_tag (STM0291), db_xref (GeneID:1251810), ",332541,336646,4105,1,6.967113276492083,6.967113276492083,6.967113276492083,6.967113276492083
880,CDS,"product (putative RHS-family protein), transl_table (11), protein_id (ref|NP_459289.1|), note (similar to E. coli rhsD protein in rhs element (AAC73599.1); Blastp hit to AAC73599.1 (1426 aa), 27% identity in aa 315 - 985, 46% identity in aa 1151 - 1261, 25% identity in aa 297 - 788, 24% identity in aa 346 - 870, 22-1073758628dentity in aa 465 - 904, 26% identity in aa 317 - 724, 32-1073758654dentity in aa 4 - 143, 24% identity in aa 232 - 605, 21% identity in aa 562 - 970, 23% identity in aa 318 - 755, 32% identity in aa 974 - 1076, 26% identity in aa 935 - 1051, 22% identity in aa 358 - 540, 37% identity in aa 1 - 32, 31-1073758588dentity in aa 1041 - 1099, 26% identity in aa 1000 - 1083, 30-1073758532dentity in aa 943 - 1025, 27% identity in aa 1172 - 1193, 32% identity in aa 1211 - 1235, 63% identity in aa 1393 - 1403, 28% identity in aa 1175 - 1210), ",332552,336646,4094,1,6.985832926233512,6.985832926233512,6.985832926233512,6.985832926233512
1631,gene,"gene (fimI), locus_tag (STM0544), db_xref (GeneID:1252064), ",604747,605284,537,1,18.99441340782123,18.99441340782123,18.99441340782123,18.99441340782123
1633,CDS,"product (fimbrial protein FimI), transl_table (11), protein_id (ref|NP_459539.1|), note (fimbrin-like protein FIMI. (SW:FIMI_SALTY)), ",604751,605284,533,1,18.38649155722326,18.38649155722326,18.38649155722327,18.38649155722327
1693,gene,"gene (pheP), locus_tag (STM0568), db_xref (GeneID:1252088), ",624190,625596,1406,1,9.95732574679943,9.95732574679943,9.95732574679943,9.95732574679943
1695,CDS,"product (phenylalanine transporter), transl_table (11), protein_id (ref|NP_459560.1|), note (similar to E. coli phenylalanine-specific transport system (AAC73677.1); Blastp hit to AAC73677.1 (458 aa), 92% identity in aa 1 - 458), ",624202,625596,1394,1,10.04304160688666,10.04304160688666,10.04304160688666,10.04304160688666
1889,gene,"gene (ybeM), locus_tag (STM0631), db_xref (GeneID:1252151), ",693642,694447,805,1,24.96894409937888,24.96894409937888,24.96894409937888,24.96894409937888
1891,CDS,"product (putative hydrolase), transl_table (11), protein_id (ref|NP_459623.1|), note (similar to E. coli putative amidase (AAC73727.1); Blastp hit to AAC73727.1 (187 aa), 77% identity in aa 2 - 187), ",693659,694447,788,1,25.50761421319797,25.50761421319797,25.50761421319797,25.50761421319797
1909,gene,"gene (rlpA), locus_tag (STM0638), db_xref (GeneID:1252158), ",699755,700912,1157,1,10.4580812445981,10.4580812445981,10.4580812445981,10.4580812445981
1910,CDS,"product (rare lipoprotein A), transl_table (11), protein_id (ref|NP_459630.1|), note (similar to E. coli a minor lipoprotein (AAC73734.1); Blastp hit to AAC73734.1 (362 aa), 68% identity in aa 1 - 362), ",699755,700900,1145,1,10.56768558951965,10.56768558951965,10.56768558951965,10.56768558951965
2306,CDS,"product (oxaloacetate decarboxylase subunit gamma), EC_number (4.1.1.3), EC_number (2.5.1.54), transl_table (11), protein_id (ref|NP_459746.1|), note (sodium ion pump oxaloacetate decarboxylase subunit gamma (gi|321934)), ",829871,830116,245,1,70.61224489795919,70.61224489795919,70.61224489795919,70.61224489795919
2399,gene,"gene (bioF), locus_tag (STM0795), db_xref (GeneID:1252315), ",861199,862367,1168,1,11.55821917808219,11.55821917808219,11.55821917808219,11.55821917808219
2401,CDS,"product (8-amino-7-oxononanoate synthase), EC_number (2.3.1.47), transl_table (11), protein_id (ref|NP_459773.1|), note (similar to E. coli 8-amino-7-oxononanoate synthase (AAC73863.1); Blastp hit to AAC73863.1 (384 aa), 80% identity in aa 1 - 384), ",861210,862367,1157,1,11.66810717372515,11.66810717372515,11.66810717372515,11.66810717372515
2768,gene,"locus_tag (STM0918), db_xref (GeneID:1252437), ",988621,991789,3168,2,6.755050505050505,6.755050505050505,6.755050505050505,6.755050505050505
2770,CDS,"product (putative Fels-1 prophage minor tail protein), transl_table (11), protein_id (ref|NP_459895.1|), note (lambda phage H tail component homolog (gi|2232364)), ",988628,991789,3161,2,6.77000949066751,6.77000949066751,6.77000949066751,6.77000949066751
3361,gene,"gene (hpaI), locus_tag (STM1106), db_xref (GeneID:1252624), ",1193154,1193952,798,1,21.30325814536341,21.30325814536341,21.30325814536341,21.30325814536341
3363,CDS,"product (2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase), EC_number (4.1.2.-), transl_table (11), protein_id (ref|NP_460079.1|), note (similar to E. coli orf, hypothetical protein (AAC75305.1); Blastp hit to AAC75305.1 (267 aa), 56% identity in aa 5 - 260), ",1193161,1193952,791,1,21.49178255372946,21.49178255372946,21.49178255372946,21.49178255372946
3874,gene,"gene (yeaN), locus_tag (STM1278), db_xref (GeneID:1252796), ",1354893,1356094,1201,1,15.98667776852623,15.98667776852623,15.98667776852623,15.98667776852623
3875,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_460244.1|), note (similar to E. coli putative amino acid/amine transport protein (AAC74861.1); Blastp hit to AAC74861.1 (393 aa), 81% identity in aa 1 - 392), ",1354893,1356077,1184,1,16.21621621621622,16.21621621621622,16.21621621621622,16.21621621621622
3903,gene,"locus_tag (STM1288), db_xref (GeneID:1252806), ",1366503,1367366,863,1,20.162224797219,20.162224797219,20.162224797219,20.162224797219
3905,CDS,"product (putative aldehyde reductase), transl_table (11), protein_id (ref|NP_460254.1|), note (similar to E. coli putative an aldehyde reductase (AAC74851.1); Blastp hit to AAC74851.1 (284 aa), 78% identity in aa 4 - 284), ",1366509,1367366,857,1,20.30338389731622,20.30338389731622,20.30338389731622,20.30338389731622
4570,gene,"gene (ydeD), locus_tag (STM1517), db_xref (GeneID:1253035), ",1595813,1596724,911,1,16.24588364434687,16.24588364434687,16.24588364434687,16.24588364434687
4572,CDS,"product (putative permease, integral membrane protein), transl_table (11), protein_id (ref|NP_460477.1|), note (probable cysteine metabolite efflux pump. (SW:EAMA_SALTY)), ",1595822,1596724,902,1,16.4079822616408,16.4079822616408,16.4079822616408,16.4079822616408
4617,gene,"locus_tag (STM1533), db_xref (GeneID:1253051), ",1608896,1609963,1067,1,13.58950328022493,13.58950328022493,13.58950328022493,13.58950328022493
4618,CDS,"product (hydrogenase-1 operon protein HyaF2), transl_table (11), protein_id (ref|NP_460493.1|), note (similar to E. coli nickel incorporation into hydrogenase-1 proteins (AAC74062.1); Blastp hit to AAC74062.1 (285 aa), 32% identity in aa 7 - 281), ",1608896,1609957,1061,1,13.66635249764373,13.66635249764373,13.66635249764373,13.66635249764373
5421,gene,"gene (ymgE), locus_tag (STM1797), db_xref (GeneID:1253316), ",1896839,1897112,273,1,59.70695970695971,59.70695970695971,59.70695970695971,59.70695970695971
5422,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_460753.1|), note (similar to E. coli orf, hypothetical protein (AAC74279.1); Blastp hit to AAC74279.1 (84 aa), 91% identity in aa 1 - 83), ",1896839,1897093,254,1,64.1732283464567,64.1732283464567,64.1732283464567,64.1732283464567
6056,gene,"locus_tag (STM2006), db_xref (GeneID:2673718), ",2085395,2086101,706,2,18.8385269121813,18.69688385269122,18.8385269121813,18.8385269121813
6058,CDS,"product (hypothetical protein), transl_table (11), protein_id (ref|NP_448412.1|), ",2085403,2086101,698,2,19.05444126074499,18.91117478510029,19.05444126074499,19.05444126074499
6076,CDS,"product (FMN/FAD transporter), transl_table (11), protein_id (ref|NP_460959.1|), note (similar to E. coli orf, hypothetical protein (AAC75048.1); Blastp hit to AAC75048.1 (547 aa), 82% identity in aa 53 - 533), ",2094374,2095831,1457,5,17.43308167467399,11.95607412491421,17.43308167467399,17.43308167467399
6326,gene,"gene (wcaM), locus_tag (STM2099), db_xref (GeneID:1253620), ",2180025,2181436,1411,1,14.7413182140326,14.7413182140326,14.7413182140326,14.7413182140326
6327,CDS,"product (colanic acid biosynthesis protein WcaM), transl_table (11), protein_id (ref|NP_461044.1|), note (colanic acid biosynthesis protein WCAM. (SW:WCAM_SALTY)), ",2180025,2181428,1403,1,14.82537419814683,14.82537419814683,14.82537419814683,14.82537419814683
6402,gene,"gene (alkA), locus_tag (STM2124), db_xref (GeneID:1253645), ",2211486,2212521,1035,1,15.16908212560386,15.16908212560386,15.16908212560386,15.16908212560386
6403,CDS,"product (DNA-3-methyladenine glycosylase 2), EC_number (3.2.2.21), transl_table (11), protein_id (ref|NP_461069.1|), note (inducible; similar to E. coli 3-methyl-adenine DNA glycosylase II, inducible (AAC75129.1); Blastp hit to AAC75129.1 (282 aa), 74% identity in aa 1 - 279), ",2211486,2212355,869,1,18.06674338319908,18.06674338319908,18.06674338319908,18.06674338319908
6777,gene,"gene (ccmH), locus_tag (STM2247), db_xref (GeneID:1253769), ",2347392,2348446,1054,1,29.22201138519924,29.22201138519924,29.22201138519924,29.22201138519924
6778,CDS,"product (cytochrome c biogenesis protein CcmH), transl_table (11), protein_id (ref|NP_461190.1|), note (cytochrome c-type biogenesis; similar to E. coli possible subunit of heme lyase (AAC75254.1); Blastp hit to AAC75254.1 (350 aa), 73% identity in aa 1 - 342), ",2347392,2348435,1043,1,29.53020134228188,29.53020134228188,29.53020134228188,29.53020134228188
6779,gene,"gene (ccmG), locus_tag (STM2248), db_xref (GeneID:1253770), ",2348432,2349000,568,1,30.28169014084507,30.28169014084507,30.28169014084507,30.28169014084507
6780,CDS,"product (thiol:disulfide interchange protein), transl_table (11), protein_id (ref|NP_461191.1|), note (cytochrome c-type biogenesis; similar to E. coli disulfide oxidoreductase (in biogenesis of cytochrome c? (AAC75255.1); Blastp hit to AAC75255.1 (185 aa), 87% identity in aa 1 - 185), ",2348432,2348989,557,1,30.87971274685817,30.87971274685817,30.87971274685817,30.87971274685817
6782,gene,"gene (ccmF), locus_tag (STM2249), db_xref (GeneID:1253771), ",2348986,2350931,1945,2,47.96915167095116,13.08483290488432,47.96915167095116,47.96915167095116
6783,CDS,"product (c-type cytochrome biogenesis protein CcmF), transl_table (11), protein_id (ref|NP_461192.1|), note (similar to E. coli cytochrome c-type biogenesis protein (AAC75256.1); Blastp hit to AAC75256.1 (647 aa), 85% identity in aa 1 - 646), ",2348986,2350917,1931,2,48.31693423096841,13.17969963749353,48.31693423096841,48.31693423096841
6791,gene,"gene (ccmC), locus_tag (STM2252), db_xref (GeneID:1253774), ",2351599,2352356,757,1,52.84015852047557,52.84015852047557,52.84015852047556,52.84015852047556
6792,CDS,"product (heme ABC transporter permease), transl_table (11), protein_id (ref|NP_461195.1|), note (ABC superfamily (membrane); cytochrome c-type biogenesis protein; similar to E. coli heme exporter protein C (AAC75259.1); Blastp hit to AAC75259.1 (245 aa), 86% identity in aa 1 - 245), ",2351599,2352336,737,1,54.27408412483039,54.27408412483039,54.2740841248304,54.2740841248304
6905,gene,"gene (glpT), locus_tag (STM2283), db_xref (GeneID:1253805), ",2388604,2390082,1478,1,7.780784844384304,7.780784844384304,7.780784844384304,7.780784844384304
6906,CDS,"product (glycerol-3-phosphate transporter), transl_table (11), protein_id (ref|NP_461225.1|), note (similar to E. coli sn-glycerol-3-phosphate permease (AAC75300.1); Blastp hit to AAC75300.1 (452 aa), 96% identity in aa 1 - 452), ",2388604,2389962,1358,1,8.468335787923417,8.468335787923417,8.468335787923417,8.468335787923417
7195,gene,"locus_tag (STM2372), db_xref (GeneID:1253894), ",2484592,2485782,1190,1,14.36974789915966,14.36974789915966,14.36974789915966,14.36974789915966
7196,CDS,"product (arabinose transporter), transl_table (11), protein_id (ref|NP_461314.1|), note (similar to E. coli putative transport protein (AAC75382.1); Blastp hit to AAC75382.1 (392 aa), 88% identity in aa 1 - 392), ",2484592,2485770,1178,1,14.51612903225807,14.51612903225807,14.51612903225806,14.51612903225806
