,Feature,Info,Feature start,Feature end,Feature size,Rloops count,Average coverage all Rloops - overlapping,Average coverage all Rloops - non-overlapping,Overall coverage of Rloops - overlapping,Overall coverage of Rloops - non-overlapping
89,CDS,"product (formate dehydrogenase accessory protein), transl_table (11), protein_id (ref|YP_005224342.1|), ",49431,50267,836,1,33.37320574162679,33.37320574162679,33.3732057416268,33.3732057416268
289,CDS,"product (entero common antigen translocase), transl_table (11), protein_id (ref|YP_005224439.1|), ",157887,159137,1250,1,11.36,11.36,11.36,11.36
449,CDS,"product (uroporphyrinogen decarboxylase), transl_table (11), protein_id (ref|YP_005224516.1|), ",247145,248209,1064,1,17.38721804511278,17.38721804511278,17.38721804511278,17.38721804511278
465,CDS,"product (DNA-binding response regulator in two-component regulatory system with ZraS), transl_table (11), protein_id (ref|YP_005224524.1|), ",252775,254106,1331,1,12.17129977460556,12.17129977460556,12.17129977460556,12.17129977460556
681,CDS,"product (putative carbohydrate kinase), transl_table (11), protein_id (ref|YP_005224628.1|), ",367748,368755,1007,1,12.5124131082423,12.5124131082423,12.5124131082423,12.5124131082423
689,CDS,"product (putative histidine protein kinase), transl_table (11), protein_id (ref|YP_005224632.1|), ",372497,374782,2285,2,23.6761487964989,18.22757111597374,23.67614879649891,23.67614879649891
767,CDS,"product (thiol:disulfide interchange protein), transl_table (11), protein_id (ref|YP_005224671.1|), ",408207,410003,1796,1,12.08240534521158,12.08240534521158,12.08240534521158,12.08240534521158
880,CDS,"product (isovaleryl CoA dehydrogenase), transl_table (11), protein_id (ref|YP_005224727.1|), ",464827,466464,1637,1,8.0024434941967,8.0024434941967,8.0024434941967,8.0024434941967
886,CDS,"product (putative hydrolase), transl_table (11), protein_id (ref|YP_005224730.1|), ",467386,468102,716,1,31.70391061452514,31.70391061452514,31.70391061452514,31.70391061452514
922,CDS,"product (putative cationic amino acid transport protein), transl_table (11), protein_id (ref|YP_005224748.1|), ",482439,483410,971,1,19.56745623069001,19.56745623069001,19.56745623069001,19.56745623069001
924,CDS,"product (putative helix-turn-helix AraC-type transcriptional regulator), transl_table (11), protein_id (ref|YP_005224749.1|), ",483486,484310,824,1,22.20873786407767,22.20873786407767,22.20873786407767,22.20873786407767
962,CDS,"product (inner membrane ABC transporter permease YjfF), transl_table (11), protein_id (ref|YP_005224768.1|), ",505373,506347,974,1,20.63655030800821,20.63655030800821,20.63655030800821,20.63655030800821
1072,CDS,"product (putative aldehyde dehydrogenase), transl_table (11), protein_id (ref|YP_005224823.1|), ",560883,562388,1505,1,7.574750830564785,7.574750830564785,7.574750830564784,7.574750830564784
1104,CDS,"product (putative carbonic anhdrase), transl_table (11), protein_id (ref|YP_005224839.1|), ",580447,581127,680,1,53.67647058823529,53.67647058823529,53.6764705882353,53.6764705882353
1182,CDS,"product (MerR family transcriptional regulator), transl_table (11), protein_id (ref|YP_005224878.1|), ",614290,615018,728,1,31.86813186813187,31.86813186813187,31.86813186813187,31.86813186813187
1198,CDS,"product (transcriptional activator protein Irlr), transl_table (11), protein_id (ref|YP_005224886.1|), ",622486,623169,683,1,25.91508052708638,25.91508052708638,25.91508052708638,25.91508052708638
1230,CDS,"product (ribose high-affinity ABC transporter permease component), transl_table (11), protein_id (ref|YP_005224899.1|), ",642485,643456,971,1,21.83316168898043,21.83316168898043,21.83316168898043,21.83316168898043
